country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Croatia,22.4,57.3,30.5,84.4,56.7,63.0,17.9,37.3,76.4,77.9
Haiti,3.4,0.0,25.4,89.3,29.0,36.9,22.0,35.1,11.0,29.1
Hungary,29.4,65.2,35.1,85.9,82.4,60.8,17.2,45.8,81.0,69.6
Indonesia,10.2,45.3,34.1,93.2,65.5,33.5,11.5,52.8,54.3,64.6
India,5.7,11.1,31.3,91.4,60.3,37.3,12.8,35.7,47.9,66.8
Ireland,39.9,20.7,54.7,63.8,81.7,67.2,9.4,50.1,88.1,95.3
Iran,19.7,17.8,41.2,80.9,71.1,49.7,7.3,24.9,52.8,14.5
Iraq,11.8,31.4,29.2,86.1,71.3,46.4,9.2,15.7,52.8,31.6
Iceland,41.2,27.5,33.4,53.5,90.7,72.3,63.8,61.6,96.6,71.2
Israel,27.7,26.6,34.3,68.5,81.3,66.2,8.2,50.3,76.9,79.1
Italy,36.6,68.8,31.1,79.6,88.9,70.7,11.9,38.3,83.1,87.8
Jamaica,16.1,62.2,2.7,91.8,67.6,45.0,4.8,49.4,52.7,76.4
Jordan,8.0,23.5,1.7,92.1,76.7,53.5,5.0,21.4,52.2,33.4
Japan,33.1,0.0,33.1,67.7,86.9,58.7,7.7,54.4,85.3,95.0
Kazakhstan,16.0,33.6,35.7,66.2,76.0,56.8,11.0,56.2,64.5,20.2
Kenya,7.5,22.7,24.9,91.4,35.1,33.9,22.3,60.1,38.9,53.4
Kyrgyz Republic,10.7,33.6,2.5,91.5,71.0,44.4,21.1,42.0,58.5,35.8
Cambodia,8.0,14.5,29.1,89.3,47.8,38.3,16.9,58.5,40.9,27.1
Kiribati,2.0,14.5,8.8,24.4,49.6,40.7,11.1,13.0,35.6,50.0
St. Kitts and Nevis,32.1,0.8,4.0,45.4,73.1,49.1,0.4,17.9,43.1,45.8
South Korea,49.4,16.4,37.5,62.1,81.8,63.5,15.8,54.9,82.0,78.2
Kosovo,0.0,,24.9,,0.0,,3.3,20.8,,31.9
Kuwait,18.7,0.0,7.9,9.7,85.4,45.3,21.9,52.7,47.2,29.8
Lao,8.2,13.3,2.8,88.0,59.8,35.6,13.0,47.6,41.4,14.2
Lebanon,13.4,0.0,17.5,87.6,70.4,53.9,3.5,24.9,42.9,48.0
Liberia,1.4,25.0,1.4,88.2,23.4,41.8,24.2,52.1,38.4,56.0
Libya,17.7,38.3,4.9,78.9,70.1,45.5,8.8,14.1,37.0,19.2
St. Lucia,13.8,20.4,2.4,47.8,68.9,53.4,2.6,42.7,32.4,64.4
Liechtenstein,32.1,12.9,0.0,21.5,75.0,0.0,14.3,18.4,57.9,45.8
Sri Lanka,14.5,17.2,36.2,96.4,68.6,42.9,16.2,38.2,53.7,51.6
Lesotho,3.8,24.5,16.9,64.1,34.9,39.3,10.8,34.8,23.4,70.3
Lithuania,25.8,68.8,31.8,63.6,81.6,61.9,13.6,52.1,71.6,86.5
Luxembourg,48.6,18.8,46.8,50.1,84.9,64.4,15.3,44.2,87.1,72.8
Latvia,25.3,72.2,31.8,73.9,81.8,58.1,18.7,50.8,71.4,83.6
"Macao, China",50.3,36.9,28.9,,78.7,0.0,2.9,35.0,,
Morocco,11.8,36.3,29.3,92.3,64.5,45.5,4.5,31.6,51.8,33.9
Monaco,64.2,0.0,25.7,,93.0,50.5,,,40.3,41.7
Moldova,24.6,78.7,25.3,96.5,68.1,65.7,8.1,31.0,67.2,62.7
Madagascar,2.9,3.2,23.7,90.2,13.4,25.1,22.0,62.9,35.1,46.4
Maldives,17.2,9.3,3.1,67.7,73.7,49.1,0.3,42.8,44.0,28.3
Mexico,20.1,63.3,29.2,91.0,76.2,48.4,9.2,47.1,60.4,57.9
Marshall Islands,2.4,20.2,18.0,22.5,65.0,56.8,3.1,18.4,36.1,50.0
North Macedonia,23.9,53.8,29.9,88.8,75.8,47.3,10.6,35.5,61.6,65.2
